gram_0,gram_1
see,finally
need,fighters
robb,stark
put,spear
dream,little
ocean,come
days,time
caught,one
took,two
ser,rodrik
grieves,less
king,robb
died,fighting
aye,died
lord,stark
hostage,taken
seven,kingdoms
put,sword
served,house
lock,cell
pay,iron
never,respect
old,man
urge,make
disrespected,front
worth,alive
address,prince
passes,sentence
give,commands
said,harm
said,harm
last,words
gods,help
ghost,stay
tame,wild
trust,wild
wild,creatures
sleep,day
thought,said
find,nice
know,walk
lost,good
father,always
look,like
start,thinking
never,going
fighting,north
watch,given
one,thing
gladly,give
want,curse
heart,done
death,gift
never,know
never,know
even,know
alive,nameless
north,wall
even,dumber
keep,us
make,us
got,find
letter,detailing
meant,lord
sent,lord
girl,fetch
cupbearer,read
house,dormand
20,000
judged,might
ever,put
put,book
maybe,devise
lord,petyr
give,us
travelled,directly
ah,late
rather,short
murdered,woman
talk,forces
men,love
grand,plans
belief,moment
affords,opportunities
say,first
yes,crisis
brilliant,insights
tyrells,command
lands,fertile
feeding,horses
tyrells,yet
loras,wants
house,tyrell
perhaps,treason
stannis,robb
wine,lord
allow,represent
believe,advantageous
tyrell,host
son,tyrion
met,catelyn
known,wildling
reaching,axe
give,half
ought,burn
need,big
want,us
burn,maybe
boy,already
waits,beyond
ever,seen
frostfangs,king
mean,march
would,take
take,head
spare,man
never,killed
mance,would
crows,would
someone,might
strike,hard
come,back
sun,going
friends,nowhere
may,seven
may,mother
may,crone
may,warrior
one,day
pray,love
close,eyes
want,know
truly,love
sound,like
little,brother
seems,normal
little,brother
seven,blessings
please,grace
freak,get
please,grace
bread,grace
want,man
oh,blind
vicious,kings
know,ever
vicious,idiot
threw,cow
hand,fall
dies,never
owe,quite
ever,fucked
take,men
take,orders
right,little
little,bird
someone,take
well,done
spice,king
makes,everyone
course,could
married,wealthiest
khal,drogo
far,young
think,succumb
travelled,far
met,many
none,immune
mother,dragons
could,sleep
red,waste
silver,hair
xaro,xhoan
glorified,dockworker
true,yet
sold,pepper
married,lady
every,lady
higher,born
servants,offer
servant,alive
oh,talent
little,princess
seven,kingdoms
fear,better
need,cross
need,ships
bring,spices
whatever,grant
three,times
sit,iron
father,sat
would,correct
come,argue
let,explain
unlike,exalted
make,living
judge,every
say,shall
doubt,honesty
must,seize
powerful,allies
many,support
people,rise
forgive,little
make,investment
know,illyrio
wedding,gave
believed,world
ages,turned
many,centuries
dreamt,carried
great,fire
stepped,fire
dreams,come
business,trust
sorry,little
daenerys,stormborn
fire,blood
yes,lady
taught,son
maester,came
make,sense
maester,said
simply,must
four,hours
stonemason,could
sharp,little
know,father
