season,episode,line_number,start_time,end_time,lines
2,1,287,"00:19:51,318","00:19:54,220","What does he do
with his sons?
"
2,1,288,"00:19:56,557","00:19:59,258","He said he planned
to stop here
"
2,1,289,"00:19:59,293","00:20:00,860","on his way
to the Frostfangs.
"
2,1,290,"00:20:00,894","00:20:02,495","People make
all sorts of plans.
"
2,1,291,"00:20:02,529","00:20:05,965","I haven't seen Benjen Stark
in three years.
"
2,1,292,"00:20:05,999","00:20:07,466","Haven't missed him.
"
2,1,293,"00:20:07,501","00:20:10,236","Always treated me
like scum.
"
2,1,294,"00:20:11,505","00:20:14,140","Haven't had any good wine
for a long time.
"
2,1,295,"00:20:14,174","00:20:17,176","You Southerners make good wine,
I'll give you that.
"
2,1,296,"00:20:17,210","00:20:19,245","We're not Southerners.
"
2,1,297,"00:20:19,280","00:20:21,014","Who's this little girl?
"
2,1,298,"00:20:22,483","00:20:25,285","You're prettier
than half my daughters.
"
2,1,299,"00:20:25,320","00:20:28,655","You got a nice wet twat
between your legs?
"
2,1,300,"00:20:28,689","00:20:30,423","What's your name?
"
2,1,301,"00:20:30,458","00:20:32,458","- Jon Snow.
- Snow, eh?
"
2,1,302,"00:20:32,493","00:20:35,327","Listen to me, bastard.
"
2,1,303,"00:20:35,362","00:20:39,331","All you lot from south of the Wall,
you're Southerners.
"
2,1,304,"00:20:39,365","00:20:43,235","But now you're in the North,
the real North.
"
2,1,305,"00:20:43,269","00:20:44,869","The lad meant no harm.
"
2,1,306,"00:20:46,372","00:20:49,607","I catch that pretty little bastard
talking to my daughters--
"
2,1,307,"00:20:49,642","00:20:53,779","No one will talk to your daughters,
you have my word.
"
2,1,308,"00:20:53,813","00:20:57,150","Now, sit down
and shut your mouth.
"
2,1,309,"00:20:59,854","00:21:02,156","You bring any of that
good wine with you?
"
2,1,310,"00:21:02,190","00:21:04,025","We did.
"
2,1,311,"00:21:04,059","00:21:06,561","We passed through
six villages on the way here.
"
2,1,312,"00:21:06,595","00:21:08,429","All six were abandoned.
"
2,1,313,"00:21:08,464","00:21:11,532","Where have all
the wildlings gone?
"
2,1,314,"00:21:11,566","00:21:15,102","I could tell you,
but I'm thirsty.
"
2,1,315,"00:21:15,136","00:21:17,238","Mormont: <i>There's a barrel of</i>
<i>Dornish wine on the sledge.</i>
"
2,1,316,"00:21:17,272","00:21:20,007","- <i>Bring it in here.</i>
- Man: <i>Yes, commander.</i>
"
2,1,317,"00:21:20,041","00:21:23,210","Craster: <i>You want to know</i>
<i>where they've all gone?</i>
"
2,1,318,"00:21:23,244","00:21:27,547","<i>North... to join up</i>
<i>with Mance Rayder...</i>
"
2,1,319,"00:21:28,716","00:21:30,449","Your old friend.
"
2,1,320,"00:21:30,484","00:21:33,119","He's no friend of mine.
"
2,1,321,"00:21:33,154","00:21:36,286","He broke his vows,
betrayed his brothers.
"
2,1,322,"00:21:36,311","00:21:37,511","Oh, aye.
"
2,1,323,"00:21:37,625","00:21:40,695","But once he was
just a poor black crow.
"
2,1,324,"00:21:40,729","00:21:43,665","And now he's
King-Beyond-the-Wall.
"
2,1,325,"00:21:43,700","00:21:46,168","He's been calling
himself that for years.
"
2,1,326,"00:21:46,202","00:21:49,939","What's he king of?
A frozen lake somewhere?
"
2,1,327,"00:21:51,308","00:21:53,376","That's a good-looking axe.
"
2,1,328,"00:21:53,410","00:21:55,545","<i>Fresh forged?</i>
"
2,1,329,"00:21:57,548","00:22:00,083","Give it here.
"
2,1,330,"00:22:00,117","00:22:02,285","You'll have another one
made at Castle Black.
"
2,1,331,"00:22:02,320","00:22:04,221","Here.
"
2,1,332,"00:22:04,255","00:22:08,058","Oh, that's some
lovely steel.
"
2,1,333,"00:22:11,762","00:22:14,898","You want to know
what Mance Rayder is doing?
"
2,1,334,"00:22:14,932","00:22:16,733","Gathering an army.
"
2,1,335,"00:22:16,801","00:22:19,002","<i>What I hear,</i>
<i>he's already got more men</i>
"
2,1,336,"00:22:19,036","00:22:21,338","<i>than any of your</i>
<i>southern kings.</i>
"
2,1,337,"00:22:21,372","00:22:23,874","And where does he plan
marching this army?
"
2,1,338,"00:22:23,908","00:22:25,375","When you're
all the way north,
"
2,1,339,"00:22:25,409","00:22:27,144","there's only
one direction to go.
"
2,1,340,"00:22:29,347","00:22:33,984","These are bad times to be
living alone in the wild.
"
2,1,341,"00:22:34,019","00:22:37,321","The cold winds
are rising.
"
2,1,342,"00:22:37,356","00:22:40,858","Let them come.
My roots are sunk deep.
"
2,1,343,"00:22:42,361","00:22:44,361","Wife...
"
2,1,344,"00:22:44,396","00:22:48,432","tell the Lord Crow
how content we are.
"
2,1,345,"00:22:48,466","00:22:50,834","This is our place.
"
2,1,346,"00:22:50,868","00:22:52,769","Our husband keeps us safe.
"
2,1,347,"00:22:52,804","00:22:55,973","Better to live free
than die a slave.
"
2,1,348,"00:22:57,742","00:23:01,245","Craster: <i>Don't it make you</i>
<i>jealous, old man,</i>
"
2,1,349,"00:23:01,279","00:23:03,347","to see me with
all these young wives
"
